0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ADL,2937
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,AE,122
1.0,0.67,0.67,0.0,0.67,0.0,0.67,0.0,1.0,1.0,1.0,0.61,0.89,0.0,0.89,0.0,0.89,0.0,1.0,1.0,AE,152
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AE,198
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,AE,290
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11,AE,332
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,AE,382
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,AE,388
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AE,436
0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,AE,2916
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,AE,2948
1.0,0.67,0.67,0.0,0.67,0.0,0.67,0.0,1.0,0.67,1.0,0.61,0.89,0.0,0.89,0.0,0.89,0.0,1.0,0.5,AE,2952
1.0,0.67,0.67,0.0,0.0,0.0,0.67,0.0,1.0,1.0,1.0,0.61,0.89,0.0,0.0,0.0,0.89,0.0,1.0,1.0,AE,2962
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39,AE,4114
