0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,MEL
0.5,0.5,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,0.45,0.45,1.0,1.0,0.0,0.0,0.55,0.55,1.0,1.0,MIL
0.15,0.0,0.44,0.15,0.04,0.0,0.04,0.04,0.81,0.74,0.38,0.0,0.99,0.06,0.0,0.0,0.0,0.0,0.98,0.98,MSP
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,MTY
0.36,0.25,0.46,0.43,0.09,0.06,0.25,0.1,0.83,0.67,0.27,0.07,0.6,0.59,0.08,0.0,0.12,0.01,0.49,0.27,MY
0.03,0.0,0.03,0.0,0.19,0.17,0.47,0.38,0.78,0.51,0.16,0.0,0.15,0.0,0.12,0.0,0.6,0.35,0.45,0.26,NL
0.23,0.16,0.36,0.27,0.18,0.14,0.34,0.25,0.86,0.66,0.08,0.07,0.2,0.15,0.08,0.06,0.11,0.09,0.73,0.24,NZ
1.0,0.96,1.0,1.0,0.92,0.92,0.96,0.96,0.92,0.48,1.0,0.97,1.0,1.0,0.3,0.3,0.33,0.33,0.96,0.81,OCEANIA
0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,OSL
0.07,0.04,0.85,0.7,0.0,0.0,0.0,0.0,0.81,0.81,0.35,0.0,1.0,0.98,0.0,0.0,0.0,0.0,0.99,0.99,PHX
0.09,0.0,0.32,0.06,0.05,0.0,0.72,0.54,0.74,0.38,0.42,0.0,0.76,0.2,0.41,0.0,0.91,0.76,0.24,0.04,PL
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PMO
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,PR
0.07,0.02,0.48,0.32,0.04,0.01,0.53,0.43,0.78,0.41,0.32,0.12,0.72,0.51,0.29,0.12,0.62,0.41,0.28,0.09,PT
0.25,0.25,0.24,0.11,0.11,0.11,0.09,0.09,0.84,0.6,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.66,0.07,QA
1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SCL
0.1,0.01,0.17,0.07,0.04,0.0,0.49,0.39,0.7,0.44,0.17,0.01,0.33,0.04,0.1,0.0,0.74,0.65,0.32,0.16,SE
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SEL
0.33,0.11,0.43,0.23,0.15,0.06,0.6,0.29,0.83,0.65,0.76,0.24,0.73,0.56,0.31,0.0,0.77,0.57,0.46,0.28,SG
0.07,0.0,0.05,0.0,0.05,0.0,0.9,0.89,0.78,0.5,0.35,0.0,0.35,0.0,0.35,0.0,0.92,0.91,0.26,0.11,SI
1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,SIN
0.44,0.22,0.67,0.63,0.0,0.0,0.04,0.04,0.81,0.81,0.79,0.02,0.85,0.85,0.0,0.0,0.0,0.0,0.98,0.98,SJC
0.42,0.0,0.28,0.01,0.07,0.0,1.0,1.0,0.75,0.46,0.41,0.0,0.34,0.01,0.15,0.0,1.0,1.0,0.23,0.08,SK
1.0,0.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.02,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,SOF
0.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,STO
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,SYD
0.17,0.12,0.21,0.19,0.1,0.07,0.21,0.18,0.69,0.56,0.03,0.03,0.05,0.05,0.02,0.0,0.04,0.04,0.15,0.09,TH
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TLV
